cliente,valor_total,segmento
Cliente_049,87181.4,Gold
Cliente_019,68482.08,Gold
Cliente_047,67613.54,Gold
Cliente_006,65700.81,Gold
Cliente_042,64504.25,Gold
Cliente_026,62979.37,Gold
Cliente_014,60212.04,Gold
Cliente_048,58851.62,Gold
Cliente_005,55046.1,Gold
Cliente_025,49683.92,Gold
Cliente_012,47263.44,Gold
Cliente_044,42781.88,Gold
Cliente_020,40705.66,Gold
Cliente_002,40216.18,Gold
Cliente_009,39989.34,Gold
Cliente_037,38955.75,Gold
Cliente_024,38717.18,Gold
Cliente_045,37417.12,Gold
Cliente_030,36937.78,Gold
Cliente_013,36393.8,Gold
Cliente_027,34833.61,Gold
Cliente_043,30796.58,Gold
Cliente_023,28647.75,Gold
Cliente_035,28624.26,Gold
Cliente_040,27794.67,Gold
Cliente_028,27208.29,Gold
Cliente_034,26156.97,Gold
Cliente_003,26020.34,Gold
Cliente_018,25092.18,Gold
Cliente_046,24501.07,Gold
Cliente_041,21833.95,Gold
Cliente_010,21303.94,Gold
Cliente_031,21094.5,Gold
Cliente_038,20146.06,Gold
Cliente_015,19301.66,Gold
Cliente_022,16954.17,Gold
Cliente_029,16070.52,Gold
Cliente_032,15397.97,Gold
Cliente_004,14194.28,Silver
Cliente_017,11090.84,Silver
Cliente_007,9579.17,Silver
Cliente_036,8024.1,Silver
Cliente_033,7838.53,Silver
Cliente_011,5334.2,Silver
Cliente_001,4594.62,Bronze
Cliente_039,3760.38,Bronze
Cliente_008,3424.87,Bronze
Cliente_016,969.03,Bronze
Cliente_050,584.91,Bronze
